ID	Symbol	OSK_OE_D4	siMyc_D3	OSK_Myc_OE_D4	Myc_OE_D4	siMyc_D7	Myc_inh_D3	siControl_MEF_1	siControl_MEF_2	siControl_D7
ENSMUSG00000000001	Gnai3	70.2088	49.0872	85.8644	44.6483	53.7791	31.3827	59.5436	56.0961	51.0506
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	36.9997	8.70053	16.9865	21.694	2.21017	3.76223	7.54169	8.57113	3.28243
ENSMUSG00000000031	H19	31.7451	102.678	9.55706	126.721	47.2656	263.392	692.555	686.755	290.162
ENSMUSG00000000037	Scml2	1.28126	0.461396	1.23489	0.660038	0.176468	1.14377	0.958246	1.21255	0.762319
ENSMUSG00000000049	Apoh	0.0454529	0.580832	0.219695	0	0.37983	0.22566	0.766773	0.280687	0.0605572
ENSMUSG00000000056	Narf	7.77885	9.16034	6.68863	2.96692	11.1756	11.7501	19.6739	20.1892	25.3254
ENSMUSG00000000058	Cav2	6.04311	19.0699	7.62661	7.48901	19.6624	28.4348	21.9255	21.6529	14.4294
ENSMUSG00000000078	Klf6	14.9524	35.4926	27.5715	21.0644	30.6299	48.0592	38.4986	40.3129	23.998
ENSMUSG00000000085	Scmh1	22.5055	25.891	20.2639	32.0086	27.7724	45.6364	24.2433	19.5583	22.1251
ENSMUSG00000000088	Cox5a	252.2	197.36	218.607	226.708	191.919	81.8016	141.314	146.623	161.881
ENSMUSG00000000093	Tbx2	11.799	5.61168	0.946692	1.50065	2.63241	1.76785	6.02762	6.25718	6.66288
ENSMUSG00000000094	Tbx4	0.536772	0.656721	1.12362	1.05348	1.01932	0.258354	1.88794	2.01179	2.56565
ENSMUSG00000000103	Zfy2	0.025735	0	0	0	0.0178758	0	0	0	0
ENSMUSG00000000120	Ngfr	99.0746	33.1428	18.0944	0.481559	11.8493	6.29335	6.82941	6.19647	17.6108
ENSMUSG00000000125	Wnt3	0.499309	0.0898565	0.586689	0.100153	0.162552	0.14457	0.122947	0.153756	0.14513
