Gene ID	Symbol	MEF	Day1	Day2	Day3	Day4	Day5	Day6	Day7	Day8	IPS
ENSMUSG00000000001	Gnai3	61.5127	125.698	80.7864	73.2533	55.2945	45.3158	32.3646	41.253	40.3481	36.1409
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	5.27326	23.213	20.2756	18.8109	20.2077	33.2658	22.6976	22.0141	25.7826	21.6377
ENSMUSG00000000031	H19	2551.81	449.623	465.036	104.334	29.8265	27.1245	61.6697	964.019	328.324	7.38203
ENSMUSG00000000037	Scml2	0.50684	1.64751	1.70932	2.74901	1.28041	0.894475	0.853084	0.574313	3.62574	0.24867
ENSMUSG00000000049	Apoh	0.101442	0.145881	0.160477	0.0462175	0.0851633	0.255488	0.823257	1.39165	0.618231	0
ENSMUSG00000000056	Narf	16.9846	4.36585	6.0363	9.99155	6.61405	4.87759	6.43681	6.57873	4.91054	13.0346
ENSMUSG00000000058	Cav2	17.6477	14.0608	12.7381	6.18974	1.5779	0.881491	0.193743	0.941723	0.454572	0.204583
ENSMUSG00000000078	Klf6	52.2674	10.4862	10.5553	8.87674	19.0274	6.45494	10.8285	31.4702	18.0681	6.56758
ENSMUSG00000000085	Scmh1	16.5736	14.3483	16.8882	14.1779	7.88407	9.07598	6.52264	6.95536	11.6656	6.72624
ENSMUSG00000000088	Cox5a	42.2666	60.0903	47.0795	39.7648	58.0883	45.6361	42.3929	60.1419	99.5131	66.901
ENSMUSG00000000093	Tbx2	2.14025	0.935638	1.07849	2.67201	0.371953	0.282756	0.184637	0.211401	0.224005	0.260368
ENSMUSG00000000094	Tbx4	1.86532	1.84087	2.34281	1.50548	0.941084	0.866005	0.55733	0.625925	0.575483	0.192881
ENSMUSG00000000103	Zfy2	0.00661035	0	0	0	0	0	0.175702	0.070689	0.95348	0.118745
ENSMUSG00000000120	Ngfr	1.49654	8.42969	5.5953	6.60821	20.8254	11.2987	5.31233	3.02485	2.00947	4.4171
ENSMUSG00000000125	Wnt3	0.0602374	0.0392021	0.129329	0.214814	0.0456856	0.0610304	0.0548679	0.0193208	0.103412	0.0463793
ENSMUSG00000000126	Wnt9a	4.06183	0.253459	0.274736	0.442565	0.112516	0.0704625	0.126616	0.267573	0.122806	0.157045
