Gene ID	Symbol	MEF	Day1	Day2	Day3	Day4	Day5	Day6	Day7	Day8	IPS	ES
ENSMUSG00000000001	Gnai3	54.9081	91.7462	82.3063	66.0341	58.8837	50.2688	48.4532	39.657	29.3116	34.0963	35.8395
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	8.35968	31.3979	37.4427	41.9181	40.5424	46.6727	49.4991	36.567	32.6154	32.6093	45.44
ENSMUSG00000000031	H19	7917.8	410.802	126.386	143.42	70.9791	22.8303	18.1475	35.3256	61.5445	51.9945	8.05516
ENSMUSG00000000037	Scml2	2.2683	0.502459	0.675078	0.720675	1.36526	1.48158	1.8664	2.10347	3.6176	22.6117	3.17157
ENSMUSG00000000049	Apoh	0.0430894	0.379788	0.118439	0.207407	0	0.0419197	0.0255819	0	0	0	0
ENSMUSG00000000056	Narf	15.4416	2.93145	3.55036	3.08926	5.95738	1.94805	4.55595	7.00759	5.14207	3.51091	6.79197
ENSMUSG00000000058	Cav2	22.0445	7.80899	5.4994	2.37526	1.80058	0.556971	0.243946	0.282885	0.121103	0.407438	0.161622
ENSMUSG00000000078	Klf6	48.2481	7.60801	6.9976	3.76514	8.57571	5.53887	9.47166	19.978	15.6311	6.90364	7.44356
ENSMUSG00000000085	Scmh1	23.1427	11.4036	9.31896	5.48408	6.19765	4.33306	3.96849	5.5812	5.84663	9.213	4.48763
ENSMUSG00000000088	Cox5a	122.942	290.432	237.359	271.105	243.58	251.065	257.002	290.907	359.131	333.653	568.655
ENSMUSG00000000093	Tbx2	2.62928	1.16239	0.588424	0.232389	0.0501568	0.0370829	0.0150716	0.0749075	0.157132	0.258149	0.0448466
ENSMUSG00000000094	Tbx4	2.359	1.09223	0.737545	0.780937	0.245754	0.252752	0.158745	0.313053	0.704779	0.245058	0.230213
ENSMUSG00000000103	Zfy2	0	0.0179069	0.00760944	0.00399428	0	0.0161468	0.0853239	0.258224	0.584872	0.252334	0
ENSMUSG00000000120	Ngfr	2.18575	24.954	61.4394	36.8099	8.7007	30.7558	14.9146	6.60192	6.81242	5.27302	5.35282
