Gene ID	Symbol	MEF	Day2	Day4	Day6	Day8	IPS	ES
ENSMUSG00000000001	Gnai3	70.9706	63.079	47.3708	46.79	35.637	30.1977	38.2086
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	6.36375	6.31443	20.4738	13.3087	15.9892	44.5322	34.0857
ENSMUSG00000000031	H19	362.058	718.691	2146.27	2327.47	1554.03	22.7829	101.549
ENSMUSG00000000037	Scml2	1.07351	1.6521	1.75846	0.740355	0.543421	0.461109	2.98577
ENSMUSG00000000049	Apoh	0.666874	0.87947	0.0743789	0.211798	0.203314	0	0
ENSMUSG00000000056	Narf	10.5239	14.0615	13.1602	3.8447	4.43507	2.92496	3.65325
ENSMUSG00000000058	Cav2	36.7076	37.9437	5.1507	5.42455	3.88049	0.16609	0.0955442
ENSMUSG00000000078	Klf6	57.5376	65.9264	16.4272	22.632	13.9353	5.5286	10.0885
ENSMUSG00000000085	Scmh1	22.0689	19.8434	16.0299	14.2665	18.105	6.75967	6.65857
ENSMUSG00000000088	Cox5a	169.782	125.775	211.782	240.382	361.519	814.253	401.515
ENSMUSG00000000093	Tbx2	0.0420071	0.0633131	1.46704	0.7148	0.914916	0.0068434	0.1151
ENSMUSG00000000094	Tbx4	0.0607484	0.0213975	0.189977	0.470899	0.20444	0.141514	0.0754076
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0.0674787
ENSMUSG00000000120	Ngfr	0.0295462	0.0728675	1.25513	0.0747317	0.830696	2.88051	4.4976
ENSMUSG00000000125	Wnt3	0	0	0.00868183	0	0.0267564	0.130213	0.094784
ENSMUSG00000000126	Wnt9a	0.86868	0.707777	0.897527	1.49183	2.09944	0.150209	0.369282
ENSMUSG00000000127	Fer	23.8407	25.4645	8.05797	9.12291	8.72337	8.6785	9.72395
ENSMUSG00000000131	Xpo6	22.6107	20.4396	39.6641	44.7985	70.893	99.9619	34.6707
ENSMUSG00000000134	Tfe3	24.2487	22.397	30.413	30.3112	29.8744	20.4438	18.3001
ENSMUSG00000000142	Axin2	0.233942	0.292417	1.82957	2.33222	1.87763	1.22247	1.46907
ENSMUSG00000000148	Brat1	5.07894	5.93129	9.01163	8.61107	6.61592	4.65703	7.6381
ENSMUSG00000000149	Gna12	18.4119	17.3548	21.9798	24.9133	17.9192	7.61989	14.7683
ENSMUSG00000000154	Slc22a18	2.80382	4.21842	2.84339	3.08426	6.51374	2.90564	2.80784
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0.0350526	0	1.19E-08	7.06E-09	4.16E-08	0.0847214	0
ENSMUSG00000000167	Pih1d2	1.89056	1.32503	1.00674	1.35258	1.31642	2.02664	1.2758
ENSMUSG00000000168	Dlat	47.0817	40.9741	43.3503	34.9347	29.0648	35.0043	42.0278
ENSMUSG00000000171	Sdhd	86.1799	91.6358	155.272	150.094	169.827	204.676	113.227
ENSMUSG00000000182	Fgf23	0.014745	0.14534	0.046084	0.0677517	0.047299	0	0.0372667
ENSMUSG00000000183	Fgf6	0	0.0375372	0	0	0.0244089	0	0
ENSMUSG00000000184	Ccnd2	72.9536	77.1748	92.5006	86.7084	56.5804	0.568754	0.43135
ENSMUSG00000000194	Gpr107	18.3467	17.2228	12.9186	14.9506	13.2931	13.5875	23.1584
ENSMUSG00000000197	Nalcn	1.5508	1.2697	0.687896	0.397187	0.432876	0.044275	0.290639
ENSMUSG00000000202	Btbd17	0	0	0	0.0144015	0	0.0455914	0.0325605
ENSMUSG00000000204	Slfn4	0	0	0	0	0.00733498	0.00669339	0.0519629
ENSMUSG00000000214	Th	0	0.0179544	0	0	0.046706	0.170874	0.0987576
ENSMUSG00000000215	Ins2	0.0864535	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	0.389749	0.466924	0.477762	0.418022	0.646164	0.129454	0.332112
ENSMUSG00000000244	Tspan32	0.136939	0.199126	0.0965903	0.0838478	0.242547	2.82382	1.42347
ENSMUSG00000000247	Lhx2	0	0	0	0	0	0.159436	0.97655
ENSMUSG00000000248	Clec2g	0.0108364	0	0.314596	0.654622	0.855486	0	0.0411083
ENSMUSG00000000253	Gmpr	8.48177	8.87579	3.90467	4.01779	4.42068	3.01919	3.44751
ENSMUSG00000000263	Glra1	0.0297983	0.0244761	0.0155213	0	0	0	0
ENSMUSG00000000266	Mid2	4.48876	4.93027	3.84348	3.86641	2.09283	0.0164648	0.103374
ENSMUSG00000000275	Trim25	6.47143	6.15825	11.8058	11.0638	9.7881	20.6895	28.8361
ENSMUSG00000000276	Dgke	2.1778	1.18121	1.27347	1.26519	0.833731	3.25012	5.63735
ENSMUSG00000000278	Scpep1	274.854	235.432	139.907	152.86	169.29	116.302	98.9187
ENSMUSG00000000282	Mnt	7.12486	5.57493	5.24053	5.70878	4.46221	5.12901	6.34438
ENSMUSG00000000290	Itgb2	0.0889805	0.203346	0.126155	0.249396	0.254243	0.0337854	0.0273218
ENSMUSG00000000295	Hddc2	32.1243	33.5037	49.5493	38.7535	47.437	65.7314	45.1809
ENSMUSG00000000296	Tpd52l1	7.82519	6.94929	2.82324	2.85574	2.7647	8.63101	25.7787
ENSMUSG00000000301	Pemt	6.49757	6.84732	7.47424	5.7507	8.35776	6.94155	5.20578
ENSMUSG00000000303	Cdh1	5.09874	3.87732	40.428	52.6256	51.7371	62.0855	108.805
ENSMUSG00000000305	Cdh4	0.038884	0.0919352	0.0243615	0.00715561	0.00833603	0.888756	1.43902
ENSMUSG00000000308	Ckmt1	0.0357741	0.15851	1.50001	3.92418	7.89914	15.2197	25.5675
ENSMUSG00000000317	Bcl6b	0.368738	0.271804	0.0868245	0.0742782	0.0648755	2.5826	0.667103
ENSMUSG00000000318	Clec10a	0	0	0	0.113448	0	0	0.0907102
ENSMUSG00000000320	Alox12	0.106667	0.176377	0.191147	0.0276302	0.0958287	1.21778	1.45608
ENSMUSG00000000325	Arvcf	4.22828	4.96739	17.1242	26.7765	18.9354	14.3533	18.0918
ENSMUSG00000000326	Comt	66.8395	81.3957	74.2967	78.9495	69.3862	12.2532	17.1217
ENSMUSG00000000339	Rtca	24.5261	25.2101	28.281	28.2256	35.8755	42.002	35.2116
ENSMUSG00000000340	Dbt	6.1817	5.49209	7.89659	5.94528	5.12387	9.10529	19.1875
ENSMUSG00000000346	Dazap2	88.588	85.5027	89.1146	69.8112	69.5421	40.9875	38.4667
ENSMUSG00000000355	Mcts1	51.7172	54.8964	60.6497	66.572	86.9807	71.1158	45.1018
ENSMUSG00000000359	Rem1	0.597378	1.02142	0.144607	0.253701	0.1657	0.037115	0
