Gene ID	Symbol	MEF	Day2	Day4	Day6	Day8	IPS
ENSMUSG00000000001	Gnai3	40.9631	41.0101	34.1397	26.6016	22.3071	27.9435
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	2.07973	4.54469	7.79133	3.40295	2.65284	38.6623
ENSMUSG00000000031	H19	190.533	121.405	311.715	396.641	369.282	1.89336
ENSMUSG00000000037	Scml2	1.05422	1.19081	1.56162	0.432112	0.990995	1.34053
ENSMUSG00000000049	Apoh	0.737791	1.42597	1.78847	0.541367	0.301229	0
ENSMUSG00000000056	Narf	11.1746	10.6146	12.1406	4.86284	3.60853	6.79702
ENSMUSG00000000058	Cav2	38.7642	28.5568	18.1257	12.6242	9.64314	0.149271
ENSMUSG00000000078	Klf6	52.8154	45.8144	26.1369	28.1587	21.6389	6.56813
ENSMUSG00000000085	Scmh1	13.7647	15.8097	16.1636	22.3078	23.4385	6.20712
ENSMUSG00000000088	Cox5a	90.1769	103.23	107.783	132.105	104.71	471.914
ENSMUSG00000000093	Tbx2	0.878275	1.40346	0.80527	1.10023	2.01166	0.174232
ENSMUSG00000000094	Tbx4	10.4993	14.5003	15.2547	10.168	9.75833	0.0540484
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0.0285049
ENSMUSG00000000120	Ngfr	0.27128	0.167228	0.424901	0.199049	0	4.57386
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0.103736
ENSMUSG00000000126	Wnt9a	0.494027	0.596658	2.26061	2.62457	2.93058	0.167426
ENSMUSG00000000127	Fer	12.2002	15.3859	11.0718	12.4258	9.77791	10.003
ENSMUSG00000000131	Xpo6	23.3552	25.7121	23.4616	25.8763	34.1252	71.9188
ENSMUSG00000000134	Tfe3	36.9358	32.5222	29.3365	28.2997	25.1528	30.4899
ENSMUSG00000000142	Axin2	1.91015	1.42125	4.54566	5.47201	5.78032	7.78137
ENSMUSG00000000148	Brat1	7.00114	7.55219	8.04175	7.68774	6.02778	8.93859
ENSMUSG00000000149	Gna12	35.3935	34.4924	25.7036	29.4656	23.5236	14.8745
ENSMUSG00000000154	Slc22a18	2.22307	2.78939	1.93707	2.67412	5.13924	4.49082
ENSMUSG00000000157	Itgb2l	0	0	0	0.0451715	0	0
ENSMUSG00000000159	Igsf5	2.25469e-08	0	0.403582	0	0	0
ENSMUSG00000000167	Pih1d2	0.49987	1.15859	0.357624	0.543729	0.547892	2.54439
ENSMUSG00000000168	Dlat	19.5358	26.0084	20.4304	18.3007	16.7186	35.3171
ENSMUSG00000000171	Sdhd	63.6918	70.7132	64.7789	66.9967	56.9615	125.557
ENSMUSG00000000182	Fgf23	0.362934	1.67878	0.0946849	0	0	0.0922527
ENSMUSG00000000183	Fgf6	0	0.149748	0	0	0	0
ENSMUSG00000000184	Ccnd2	36.476	53.1526	49.7203	54.5045	50.0147	0.16289
ENSMUSG00000000194	Gpr107	27.1895	25.5171	23.3721	21.4401	15.9361	18.5947
ENSMUSG00000000197	Nalcn	0.116864	0.112241	0.11097	0.0155895	0.086752	0.0432048
ENSMUSG00000000202	Btbd17	0	0	0.158105	0	0	0.411175
ENSMUSG00000000204	Slfn4	29.1256	4.71197	0.400624	0.229004	0.0427666	0
ENSMUSG00000000214	Th	0	0.0950447	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	0.347716	0.653108	1.47326	1.18919	0.752972	0.101298
ENSMUSG00000000244	Tspan32	0.685956	0.544695	0.55873	0.247931	0	0.89234
ENSMUSG00000000247	Lhx2	0.669987	0.293624	0.308432	0.30094	0.0567188	0.539244
ENSMUSG00000000248	Clec2g	0.0665094	0	1.28968	0	0.851791	0
ENSMUSG00000000253	Gmpr	4.45374	6.22339	4.38552	4.82484	5.19634	4.69009
ENSMUSG00000000263	Glra1	0.0458445	0	0	0.0672844	0	0
ENSMUSG00000000266	Mid2	3.4141	3.57595	2.95243	1.12369	1.38906	0.0391905
ENSMUSG00000000275	Trim25	30.77	21.4748	18.8847	19.325	10.8763	21.6459
ENSMUSG00000000276	Dgke	1.39301	1.05319	0.87587	0.640531	0.625979	3.458
ENSMUSG00000000278	Scpep1	189.333	171.322	173.386	215.486	186.336	138.878
ENSMUSG00000000282	Mnt	8.47953	8.55209	5.92122	6.55294	6.45308	10.6105
ENSMUSG00000000290	Itgb2	65.8607	40.7168	55.3883	57.2568	33.6088	0.0337064
ENSMUSG00000000295	Hddc2	9.08144	14.6595	18.2647	11.229	10.1476	34.8496
ENSMUSG00000000296	Tpd52l1	0.890145	0.579443	0.499871	1.80914	1.53795	14.3421
ENSMUSG00000000301	Pemt	2.47986	5.45505	7.09371	3.6512	4.12847	5.31157
ENSMUSG00000000303	Cdh1	0.0347134	0.0550185	0.0906301	0.071706	0	70.8671
ENSMUSG00000000305	Cdh4	0.0118708	0.0376247	0.174505	0.0348381	0.0726998	0.760389
ENSMUSG00000000308	Ckmt1	0	0	0.461656	0.898027	0.113307	21.6754
ENSMUSG00000000317	Bcl6b	0.115883	0.0244923	0.0242004	0.0680226	0.0946309	2.59321
ENSMUSG00000000318	Clec10a	2.27788	4.50363	2.0773	3.18224	1.7607	0
ENSMUSG00000000320	Alox12	0.116808	0.0553559	0.163012	0	0	1.41848
ENSMUSG00000000325	Arvcf	5.37546	5.19205	8.94121	13.1534	15.3929	18.1901
ENSMUSG00000000326	Comt	60.8654	74.212	91.5283	89.7091	100.133	17.7605
ENSMUSG00000000339	Rtca	16.0195	18.3416	17.2447	20.1608	17.3128	30.687
ENSMUSG00000000340	Dbt	5.67602	6.7747	5.88954	4.86901	4.20932	13.8548
ENSMUSG00000000346	Dazap2	127.49	98.724	62.5973	69.0019	70.5674	43.1241
ENSMUSG00000000355	Mcts1	34.0428	36.4558	35.0217	38.0247	34.8534	39.5219
ENSMUSG00000000359	Rem1	1.00056	1.32244	0.524149	0.14685	0.240047	0.059767
ENSMUSG00000000365	Rnf17	0.430402	0.611565	0.573519	0.3049	0.333279	9.17418
ENSMUSG00000000374	Trappc10	8.26277	8.53026	8.41605	6.93488	5.62783	4.12718
ENSMUSG00000000378	Ccm2	27.3594	30.4017	31.4543	31.8329	28.9845	17.8229
ENSMUSG00000000381	Wap	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	11.6645	16.9819	14.8237	15.4718	12.4338	62.0095
ENSMUSG00000000385	Tmprss2	0	0.0524051	0	0	0	0
ENSMUSG00000000386	Mx1	44.595	5.57774	4.86751	7.3584	1.64347	0
ENSMUSG00000000392	Fap	4.01727	4.18263	6.69897	20.1946	29.1659	0.480477
ENSMUSG00000000394	Gcg	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	48.2991	61.835	60.2605	62.1941	56.7247	112.756
ENSMUSG00000000402	Egfl6	77.8154	85.4782	136.627	264.217	255.458	2.20345
ENSMUSG00000000409	Lck	2.07436	1.97966	1.97586	0.933329	0.752428	20.1999
ENSMUSG00000000411	Tssk3	0	0.0715629	0	0.0993054	0.690704	0
ENSMUSG00000000416	Cttnbp2	1.23317	2.19217	1.1458	1.4154	1.81534	0.582508
ENSMUSG00000000420	Galnt1	24.5232	26.7495	25.0986	23.1155	22.3169	17.9125
ENSMUSG00000000435	Myf5	0.0389098	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	10.2597	11.981	8.66391	7.75736	7.76652	18.4085
ENSMUSG00000000440	Pparg	8.0434	9.64516	3.1362	3.37284	3.4298	0.094879
ENSMUSG00000000441	Raf1	34.777	39.8448	39.5905	36.9758	36.9732	53.7952
ENSMUSG00000000486	Sept1	3.21582	2.67687	2.79976	2.11691	2.12415	335.827
ENSMUSG00000000489	Pdgfb	5.28945	2.45283	3.12755	0.63366	0.440761	1.42677
ENSMUSG00000000530	Acvrl1	21.6308	15.1397	18.0767	17.6133	19.7392	0.428785
ENSMUSG00000000531	Grasp	3.47494	5.33949	6.03054	7.35336	9.65202	18.5898
ENSMUSG00000000532	Acvr1b	12.8457	11.1763	7.17125	8.64451	10.3029	13.9897
ENSMUSG00000000538	Tom1l2	11.3588	12.7162	10.7492	11.7787	10.2126	3.15169
ENSMUSG00000000544	Gpa33	0.123804	0.0382158	0.0377389	0.092957	0.0738099	64.2658
ENSMUSG00000000552	Zfp385a	17.9117	18.8592	24.7157	35.2634	32.8474	17.6054
ENSMUSG00000000555	Itga5	57.0695	56.1623	32.8498	27.3009	21.5007	18.7275
ENSMUSG00000000560	Gabra2	0	0	0	0	0	0
ENSMUSG00000000561	Wdr77	11.6329	16.1106	12.9097	14.4588	11.5034	73.0348
ENSMUSG00000000562	Adora3	0.283	0.142825	0.36918	0.105211	0.0689658	0
ENSMUSG00000000563	Atp5f1	46.525	52.9047	54.8608	53.8166	50.0171	122.087
ENSMUSG00000000567	Sox9	16.1929	17.5047	5.74712	4.57175	5.44609	0.0379336
ENSMUSG00000000568	Hnrnpd	83.7531	97.6694	70.3691	79.8352	94.491	415.486
ENSMUSG00000000579	Dynlt1c	8.01319	8.0793	8.82712	7.01019	6.45536	14.2651
ENSMUSG00000000581	C1d	27.7901	28.2169	30.9303	28.2112	36.2917	24.4747
ENSMUSG00000000594	Gm2a	33.5077	26.9721	25.5925	27.3903	28.9268	10.0538
ENSMUSG00000000600	Krit1	5.61704	5.71258	5.73628	6.63837	6.70828	4.95274
ENSMUSG00000000605	Clcn4-2	9.74377	11.2435	12.733	12.9448	12.3937	0.716125
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0.0236304	0	0	0	0	0.024025
ENSMUSG00000000627	Sema4f	0.434476	0.27945	1.40061	0.304925	0.347076	1.32559
ENSMUSG00000000628	Hk2	18.7305	13.8966	12.5917	11.1002	11.1935	109.289
ENSMUSG00000000631	Myo18a	10.5511	13.3682	8.15879	13.4679	15.8686	16.1367
ENSMUSG00000000632	Sez6	0.0227593	0	0.0377019	0.0530087	0	0
ENSMUSG00000000673	Haao	0	0	0	0	0	0
ENSMUSG00000000682	Cd52	335.896	66.8711	40.4363	72.6789	31.3541	8.86167e-61
ENSMUSG00000000686	Abhd15	0.804199	0.535167	0.414248	0.341707	0.323911	0.0689037
ENSMUSG00000000690	Hoxb6	2.75122	3.72593	1.44364	1.76682	2.68233	0.0556322
ENSMUSG00000000693	Loxl3	37.8163	38.9329	21.9548	23.3897	27.2911	0.917092
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0.0237736	0	0	0.138887
ENSMUSG00000000708	Kat2b	11.7975	8.87244	6.22227	14.1795	16.3152	20.8765
ENSMUSG00000000711	Rab5b	39.8122	39.3812	28.9309	29.802	29.2136	22.4329
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0.255664
ENSMUSG00000000730	Dnmt3l	1.23898	3.70561	6.7022	3.39873	5.05997	121.528
ENSMUSG00000000731	Aire	0.363761	0.16866	0.167957	0	0	38.7655
ENSMUSG00000000732	Icosl	1.77895	1.0917	1.49778	0.926363	0.702936	3.29646
ENSMUSG00000000751	Rpa1	19.3409	24.3687	35.3617	21.2046	16.2738	104.439
ENSMUSG00000000753	Serpinf1	1052.37	1282.75	992.132	817.594	1137.79	5.37214
ENSMUSG00000000759	Tubgcp3	11.4056	12.8204	12.5221	9.56354	11.9149	16.2141
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	14.2903	18.4159	17.0324	21.9105	16.6265	27.3838
ENSMUSG00000000782	Tcf7	0.872155	1.33075	0.943608	1.13703	1.64769	18.156
ENSMUSG00000000787	Ddx3x	54.4221	55.7311	56.4344	53.6462	59.3203	73.7437
ENSMUSG00000000791	Il12rb1	0.0274401	0.0290005	0.0286489	0.0402688	0.0560204	0.0836959
ENSMUSG00000000792	Slc5a5	0.0268883	0.0568339	0.0280732	0.0789178	0.109787	0.738114
ENSMUSG00000000794	Kcnn3	0.13315	0.0866455	0.342383	0.185359	0.257923	0.0277846
ENSMUSG00000000804	Usp32	4.88039	5.31582	5.30077	4.9468	3.92218	4.17515
ENSMUSG00000000805	Car4	0.227611	0.468494	0.461689	0	0	0.416234
ENSMUSG00000000811	Txnrd3	4.06234	4.30808	3.22451	2.73579	4.48769	6.28021
ENSMUSG00000000817	Fasl	0	0	0	0	0	0
ENSMUSG00000000823	Znf512b	8.38176	14.4436	13.5146	10.4483	12.4381	6.70087
ENSMUSG00000000826	Dnajc5	28.3521	30.7912	28.5937	16.9215	14.0622	15.0378
ENSMUSG00000000827	Tpd52l2	55.1664	62.8053	44.2115	51.4695	45.0972	74.1254
ENSMUSG00000000838	Fmr1	19.3899	20.3073	13.6785	13.5421	13.0935	12.5958
ENSMUSG00000000861	Bcl11a	0.353228	0.725409	0.106767	0.654016	0.0518032	0.210236
ENSMUSG00000000869	Il4	0.178491	0	0.219509	0	0.431686	0.214893
ENSMUSG00000000876	Pxmp4	9.85557	11.8572	14.8295	16.7982	11.5325	9.6758
ENSMUSG00000000881	Dlg3	14.1167	12.3633	11.9521	9.04157	10.6724	7.37172
ENSMUSG00000000884	Gnb1l	1.28517	1.53482	2.5903	2.19821	3.77738	7.69291
ENSMUSG00000000889	Dbh	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	39.1896	35.4386	22.7727	29.3799	40.5114	21.2511
ENSMUSG00000000902	Smarcb1	34.2232	47.6633	44.5617	41.2934	41.6174	80.6389
ENSMUSG00000000903	Vpreb3	0	0.180455	0.177042	0	0	1.72787
ENSMUSG00000000915	Hip1r	1.12194	1.74556	0.92043	0.360144	0.69874	3.71607
ENSMUSG00000000916	Nsun5	4.37257	5.78078	4.91281	5.7026	4.38688	12.5576
ENSMUSG00000000934	Top1mt	4.53709	5.29682	4.93694	5.55429	5.35602	4.76607
ENSMUSG00000000938	Hoxa10	36.9448	44.9216	41.0637	46.7101	70.1844	0.0492881
ENSMUSG00000000942	Hoxa4	1.1548	1.22112	1.15009	0.770419	1.28608	0.0533703
ENSMUSG00000000948	Snrpn	3.55223	4.73898	5.16364	3.66178	4.5182	34.933
ENSMUSG00000000957	Mmp14	212.604	221.394	303.865	520.555	447.516	8.5219
ENSMUSG00000000958	Slc7a7	12.1768	9.58341	5.81756	7.95996	6.03724	25.4321
ENSMUSG00000000959	Oxa1l	21.9199	24.0853	20.8991	23.9844	22.6796	47.0481
ENSMUSG00000000976	Heatr6	7.86224	7.3195	7.13942	5.90059	5.47335	5.31024
ENSMUSG00000000982	Ccl3	20.0213	28.5465	26.4593	56.7234	32.241	0
ENSMUSG00000000983	Wfdc18	0.672456	0.435405	1.26979	0	0	0
ENSMUSG00000001014	Icam4	0.122625	0.128373	0	0	0.210337	0.912909
ENSMUSG00000001016	Ilf2	23.6637	27.9367	33.1416	25.0462	25.245	129.886
ENSMUSG00000001017	Chtop	38.044	40.0215	35.7566	32.3607	34.8676	79.9403
ENSMUSG00000001018	Snapin	54.7067	61.5835	39.6028	41.8579	43.7082	27.4086
ENSMUSG00000001020	S100a4	310.141	668.736	540.397	400.051	322.579	4.90266
ENSMUSG00000001021	S100a3	0.283391	0.450368	0.294968	0.416146	0.289411	0
ENSMUSG00000001023	S100a5	0	0.340451	0.33165	0.941242	0	0
ENSMUSG00000001025	S100a6	530.298	861.977	583.351	823.055	916.067	29.7146
ENSMUSG00000001027	Scn4a	0	0	0	0	0	0
ENSMUSG00000001027	Scn4a	0.0114816	0.0121303	0	0	0	0.0116731
ENSMUSG00000001029	Icam2	0.579018	0.0714313	0.610431	0.62436	0	0.608547
ENSMUSG00000001034	Mapk7	16.1094	19.3074	19.929	21.076	16.248	21.8132
ENSMUSG00000001036	Epn2	7.26538	7.40186	7.62507	7.21413	9.41059	16.2944
ENSMUSG00000001039	B9d1	9.51962	14.4005	13.8121	15.3949	11.6735	29.9574
ENSMUSG00000001052	Sec24b	22.0503	27.2314	22.5188	20.8082	19.1603	13.5299
ENSMUSG00000001053	N4bp3	0.270615	0.331746	0.355461	0	0.279916	24.6213
ENSMUSG00000001054	Rmnd5b	10.5184	12.452	11.5876	13.2434	13.1203	42.5959
ENSMUSG00000001056	Nhp2	25.1394	37.9594	35.8978	47.9381	37.158	338.639
ENSMUSG00000001076	C1ql4	0	0.114327	0	0	0	0.109808
ENSMUSG00000001082	Mfsd10	32.1128	40.5124	37.4628	34.1176	33.6009	77.2405
ENSMUSG00000001089	Luzp1	12.5942	12.8881	10.045	8.62913	8.72102	8.57079
ENSMUSG00000001095	Slc13a2	0.0331408	0	0	0	0	0.033695
ENSMUSG00000001098	Kctd10	49.324	61.7229	55.9111	61.3645	61.8184	11.9043
ENSMUSG00000001100	Poldip2	33.5095	43.7142	45.6376	41.6414	37.9789	76.067
ENSMUSG00000001103	Sebox	0	0	0	0.195	0	0
ENSMUSG00000001105	Ift20	68.5904	77.9988	99.7791	106.079	123.915	56.3995
ENSMUSG00000001119	Col6a1	517.336	507.068	561.075	330.085	307.885	0.937699
ENSMUSG00000001120	Pcbp3	3.61284	6.40446	3.30623	2.96512	5.40445	8.27416
ENSMUSG00000001123	Lgals9	155.608	100.292	78.1535	146.615	88.654	2.01633
ENSMUSG00000001127	Araf	32.3845	41.8327	38.7597	40.0752	38.1511	33.2095
ENSMUSG00000001128	Cfp	257.044	234.554	34.6136	66.7986	40.2433	5.95893
ENSMUSG00000001131	Timp1	799.712	972.573	551.689	731.25	1111.49	60.5328
ENSMUSG00000001134	Uxt	1.54393	1.19206	1.57175	3.69919	3.78935	2.6873
ENSMUSG00000001138	Cnnm3	4.10029	3.54631	2.97782	2.18623	2.40257	7.10404
ENSMUSG00000001143	Lman2l	7.21702	8.99934	8.23833	6.79728	8.58047	6.00736
ENSMUSG00000001150	Mcm3ap	6.29167	7.48692	7.81887	5.66668	5.2152	15.6681
ENSMUSG00000001151	Pcnt	2.78815	2.73328	2.46411	1.49087	1.3345	11.827
ENSMUSG00000001155	Ftcd	0	0.0285632	0	0	0.0551762	0
ENSMUSG00000001156	Mxd1	7.56128	3.80777	3.04182	2.84937	2.18356	1.82358
ENSMUSG00000001157	Gmcl1	8.85202	9.40602	9.00502	8.15971	6.00318	12.1436
ENSMUSG00000001158	Snrnp27	82.1019	86.876	66.4169	72.3061	76.8924	116.154
ENSMUSG00000001166	Oas1c	5.21145	3.10079	0.768383	2.47049	0.71563	0.677132
ENSMUSG00000001168	Oas1h	0.197204	0	0	0.0967212	0	0
ENSMUSG00000001173	Ocrl	9.32052	12.6978	10.8137	9.15872	7.96467	7.84836
ENSMUSG00000001175	Calm1	226.035	297.122	248.516	204.073	153.808	133.148
ENSMUSG00000001211	Agpat3	45.236	52.1717	55.079	57.6206	54.5661	12.6704
ENSMUSG00000001225	Slc26a3	0	0	0.306941	0	0.134797	0
ENSMUSG00000001227	Sema6b	3.78366	3.6579	1.57624	1.15183	0.821731	1.05514
